iter	Passed	Remaining
0	2	229
1	4	219
2	6	211
3	8	197
4	10	199
5	12	197
6	14	197
7	16	194
8	19	192
9	21	192
10	23	190
11	25	188
12	27	185
13	29	183
14	31	181
15	34	179
16	36	176
17	38	175
18	40	173
19	42	171
20	44	168
21	47	167
22	49	165
23	51	163
24	53	161
25	55	158
26	58	157
27	60	154
28	62	152
29	64	150
30	66	148
31	68	145
32	70	143
33	72	141
34	75	139
35	77	137
36	79	135
37	81	133
38	83	130
39	85	128
40	88	126
41	88	122
42	90	120
43	93	118
44	95	116
45	97	114
46	99	112
47	101	110
48	103	108
49	107	107
50	109	105
51	112	103
52	114	101
53	116	99
54	117	96
55	154	121
56	156	118
57	159	115
58	161	112
59	164	109
60	166	106
61	169	103
62	171	100
63	173	97
64	175	94
65	178	91
66	180	88
67	182	86
68	186	83
69	189	81
70	191	78
71	193	75
72	201	74
73	204	71
74	206	68
75	209	66
76	211	63
77	213	60
78	216	57
79	218	54
80	220	51
81	245	53
82	247	50
83	249	47
84	251	44
85	262	42
86	265	39
87	267	36
88	270	33
89	272	30
90	275	27
91	277	24
92	279	21
93	281	17
94	283	14
95	286	11
96	288	8
97	290	5
98	292	2
99	294	0
