iter	Passed	Remaining
0	124	124781
1	128	64229
2	135	44975
3	139	34783
4	142	28311
5	144	23961
6	148	21023
7	151	18755
8	153	16928
9	156	15467
10	158	14269
11	162	13412
12	165	12582
13	167	11781
14	168	11085
15	170	10475
16	171	9944
17	173	9466
18	175	9078
19	177	8721
20	179	8375
21	181	8054
22	182	7762
23	184	7491
24	185	7243
25	187	7015
26	188	6807
27	191	6656
28	193	6474
29	194	6304
30	196	6141
31	198	5991
32	199	5848
33	201	5713
34	202	5590
35	204	5479
36	206	5377
37	208	5270
38	209	5167
39	211	5069
40	212	4977
41	214	4888
42	215	4805
43	217	4726
44	220	4689
45	222	4617
46	224	4546
47	225	4477
48	227	4412
49	228	4348
50	230	4293
51	232	4234
52	234	4197
53	236	4145
54	238	4095
55	240	4047
56	241	3999
57	243	3954
58	245	3909
59	246	3865
60	249	3833
61	251	3804
62	252	3761
63	254	3721
64	255	3681
65	257	3643
66	259	3607
67	260	3571
68	262	3536
69	264	3518
70	266	3489
71	268	3456
72	269	3426
73	271	3394
74	272	3365
75	274	3336
76	275	3307
77	277	3279
78	280	3269
79	282	3243
80	283	3216
81	285	3191
82	285	3158
83	287	3134
84	288	3110
85	290	3087
86	292	3064
87	294	3056
88	296	3036
89	298	3015
90	299	2993
91	301	2973
92	302	2952
93	304	2932
94	305	2912
95	307	2893
96	310	2886
97	311	2870
98	314	2858
99	315	2842
100	317	2826
101	319	2813
102	321	2798
103	327	2820
104	329	2808
105	331	2794
106	333	2783
107	335	2769
108	337	2755
109	339	2745
110	341	2736
111	343	2721
112	344	2706
113	346	2691
114	347	2675
115	349	2660
116	350	2644
117	351	2630
118	354	2625
119	356	2615
120	358	2601
121	359	2586
122	360	2573
123	362	2560
124	363	2547
125	365	2535
126	366	2521
127	369	2519
128	371	2510
129	373	2497
130	374	2485
131	376	2474
132	377	2462
133	379	2451
134	380	2440
135	382	2429
136	385	2425
137	386	2414
138	388	2403
139	389	2393
140	391	2382
141	392	2368
142	393	2358
143	395	2349
144	396	2339
145	399	2337
146	401	2329
147	402	2319
148	404	2310
149	406	2300
150	407	2292
151	409	2283
152	410	2273
153	412	2265
154	414	2261
155	416	2253
156	418	2245
157	420	2238
158	421	2230
159	423	2222
160	424	2211
161	425	2203
162	428	2198
163	430	2193
164	432	2187
165	433	2178
166	435	2170
167	436	2162
168	438	2154
169	439	2146
170	441	2138
171	444	2137
172	445	2131
173	447	2124
174	449	2116
175	450	2109
176	452	2101
177	453	2094
178	455	2087
179	456	2079
180	459	2078
181	460	2071
182	462	2064
183	463	2057
184	465	2049
185	466	2042
186	468	2035
187	469	2028
188	471	2022
189	474	2021
190	475	2015
191	477	2009
192	479	2002
193	480	1996
194	481	1989
195	483	1983
196	485	1977
197	486	1971
198	489	1970
199	491	1966
200	493	1961
201	494	1955
202	496	1949
203	497	1943
204	499	1936
205	500	1930
206	504	1932
207	506	1926
208	507	1920
209	508	1914
210	510	1908
211	512	1903
212	513	1897
213	515	1891
214	516	1886
215	519	1885
216	521	1880
217	522	1875
218	524	1870
219	526	1865
220	527	1860
221	529	1855
222	531	1850
223	533	1849
224	537	1851
225	539	1847
226	542	1845
227	545	1847
228	549	1849
229	551	1846
230	553	1842
231	555	1837
232	556	1832
233	558	1827
234	560	1823
235	561	1818
236	566	1823
237	568	1818
238	569	1814
239	571	1810
240	573	1806
241	575	1802
242	577	1797
243	580	1799
244	583	1796
245	584	1792
246	586	1787
247	588	1782
248	589	1778
249	591	1774
250	593	1770
251	596	1769
252	598	1765
253	599	1761
254	601	1756
255	602	1752
256	604	1747
257	606	1743
258	610	1745
259	612	1743
260	615	1741
261	617	1738
262	619	1735
263	620	1731
264	622	1726
265	625	1726
266	627	1721
267	629	1718
268	631	1716
269	633	1713
270	636	1712
271	638	1710
272	641	1707
273	642	1703
274	644	1699
275	646	1696
276	648	1693
277	650	1689
278	652	1686
279	655	1685
280	657	1682
281	659	1679
282	661	1676
283	663	1672
284	664	1667
285	666	1664
286	669	1664
287	671	1661
288	673	1657
289	675	1654
290	678	1652
291	680	1649
292	681	1645
293	685	1645
294	687	1643
295	689	1639
296	691	1635
297	692	1631
298	694	1628
299	696	1624
300	697	1620
301	702	1622
302	703	1619
303	705	1615
304	707	1611
305	709	1608
306	710	1604
307	712	1600
308	716	1601
309	717	1598
310	719	1594
311	722	1592
312	724	1590
313	726	1588
314	729	1585
315	731	1584
316	734	1581
317	735	1577
318	737	1573
319	738	1569
320	740	1565
321	741	1561
322	743	1557
323	745	1556
324	747	1553
325	749	1549
326	750	1545
327	752	1541
328	754	1538
329	755	1534
330	757	1530
331	759	1528
332	761	1525
